Country,launched_at,Categories,Prct_goal
USA,13/10/02,games,0.75
USA,16/6/10,music,1
USA,15/10/31,music,26.2
USA,16/8/12,games,0
USA,13/3/12,music,0.01
USA,12/9/06,publishing,256
USA,16/8/25,film and video,0
USA,16/12/28,film and video,0.3
USA,17/7/24,photography,0.04
USA,13/8/16,art,100.86
USA,12/3/09,music,112.61
USA,14/5/19,publishing,0.52
USA,16/8/22,technology,0
USA,16/3/21,technology,24.56
USA,10/9/07,music,0.36
USA,12/7/27,games,5.72
USA,17/6/19,design,0.2
USA,17/3/03,games,0.3
USA,16/10/03,design,581.05
USA,15/10/21,music,0
USA,15/12/14,technology,278.23
USA,14/5/01,film and video,103.37
USA,14/11/14,technology,100.77
USA,16/9/29,publishing,16
USA,12/10/29,publishing,1.27
USA,13/4/01,music,0
USA,17/4/29,games,75.78
USA,16/1/15,music,174.41
USA,17/5/03,publishing,1.15
USA,15/11/18,publishing,1.74
USA,14/7/07,music,327.33
USA,13/2/04,technology,1557.84
USA,15/6/04,publishing,0
USA,16/9/10,journalism,0.34
USA,14/8/08,technology,155.42
USA,17/5/27,film and video,7.68
USA,17/5/29,music,0
USA,14/6/12,technology,0.29
USA,17/9/13,comics,30.5
USA,13/3/25,publishing,0
USA,15/8/07,music,158.85
USA,17/8/18,music,73.38
USA,16/9/28,art,82.4
USA,13/9/03,music,217.54
USA,11/10/01,art,5.5
USA,17/7/03,music,0
USA,16/2/04,art,0.5
USA,15/3/31,publishing,0
USA,15/2/24,publishing,0.25
USA,15/12/01,technology,31
USA,15/5/06,film and video,7
USA,16/5/03,journalism,0
USA,16/7/28,technology,0
USA,14/10/10,photography,0
USA,14/5/29,art,7.5
USA,14/9/16,food,0.15
USA,14/1/27,publishing,0.6
USA,16/4/02,journalism,12.27
USA,15/8/16,publishing,0
USA,17/6/28,food,122.88
USA,14/8/22,photography,0
USA,15/5/28,music,0
USA,16/3/28,music,25.88
USA,16/2/19,technology,0.85
USA,17/2/04,music,100.83
USA,15/8/30,music,1.8
USA,17/4/01,art,112
