"","subregion","region","TotalBackers","MeanBackers","MedianBackers","MeanUSD","TotalUSD","MedianUSD"
"558","mccracken","kentucky",455,28.4375,6,1556.125,24898,302.5
"559","mcdonough","illinois",532,31.2941176470588,7,2480.46117647059,42167.84,210
"560","mchenry","illinois",5575,150.675675675676,130,5129.98702702703,189809.52,4886
"561","mckinley","new mexico",44,22,22,1077.5,2155,1077.5
"562","mclean","illinois",377,22.1764705882353,9,2364.29411764706,40193,392
"563","mclennan","texas",3262,59.3090909090909,4,3813.18363636364,209725.1,123
"564","mecklenburg","north carolina",24029,50.6940928270042,3,3472.1388185654,1645793.8,98.5
"565","mecosta","michigan",88,44,44,2777.5,5555,2777.5
"566","medina","ohio",331,33.1,4,2892.7,28927,100.5
"567","mendocino","california",362,36.2,15.5,1494.9,14949,708.5
"568","merced","california",130,11.8181818181818,0,810.454545454545,8915,0
"569","mercer","new jersey",6907,52.3257575757576,10,6786.56840909091,895827.03,330.5
"570","mercer","ohio",4,4,4,32,32,32
"571","mercer","pennsylvania",5,1.66666666666667,0,23.3333333333333,70,0
"572","mercer","west virginia",149,74.5,74.5,5010.225,10020.45,5010.225
"573","merrimack","new hampshire",903,112.875,5,5172.3925,41379.14,545.5
"574","mesa","colorado",361,11.28125,3,1044.895,33436.64,109.5
"575","miami","indiana",96,48,48,5069.5,10139,5069.5
"576","miami","ohio",53,10.6,3,556.154,2780.77,117.77
"577","miami-dade","florida",2682,62.3720930232558,5,5829.34,250661.62,228
"578","middlesex","connecticut",979,54.3888888888889,26,4859.79166666667,87476.25,2056.5
"579","middlesex","massachusetts",70842,137.557281553398,23,11721.4858640777,6036565.22,1118
"580","middlesex","new jersey",5747,65.3068181818182,7,5916.86545454545,520684.16,336.5
"581","midland","texas",318,11.3571428571429,5,766.451071428571,21460.63,202
"582","miller","arkansas",460,41.8181818181818,1,1937.32818181818,21310.61,38
"583","milwaukee","wisconsin",32924,89.7111716621253,13,5768.71196185286,2117117.29,560
"584","minidoka","idaho",16,8,8,795.5,1591,795.5
"585","minnehaha","south dakota",2317,34.5820895522388,4,2871.96417910448,192421.6,165
"586","mississippi","arkansas",13,4.33333333333333,1,87,261,100
"587","missoula","montana",14462,178.543209876543,25,12385.1891358025,1003200.32,1336.13
"588","mohave","arizona",1275,63.75,7,5332.05,106641,400
"589","monmouth","new jersey",4467,111.675,15.5,7495.2375,299809.5,961
"590","monongalia","west virginia",1350,45,10.5,4517.53333333333,135526,445
"591","monroe","new york",19870,64.3042071197411,13,4217.30582524272,1303147.5,556
"592","monroe","pennsylvania",3,0.5,0,11.8333333333333,71,0
"593","monterey","california",3401,33.343137254902,5,2754.38892156863,280947.67,223
"594","montezuma","colorado",144,36,13,4427.25,17709,160.5
"595","montgomery","alabama",608,12.4081632653061,2,758.995918367347,37190.8,50
"596","montgomery","indiana",5,1.66666666666667,0,40.6666666666667,122,0
"597","montgomery","kansas",53,7.57142857142857,2,188.5,1319.5,32
"598","montgomery","maryland",25233,105.577405857741,9,18274.369539749,4367574.32,247
"599","montgomery","ohio",14402,64.8738738738739,7.5,3340.82306306306,741662.72,427.5
"600","montgomery","pennsylvania",1043,41.72,3,2740.8148,68520.37,177
"601","montgomery","tennessee",1139,21.4905660377358,5,1101.81339622642,58396.11,173
"602","montgomery","texas",8531,208.073170731707,12,36408.966097561,1492767.61,590
"603","montgomery","virginia",1212,31.0769230769231,21,2540.95384615385,99097.2,772
"604","montrose","colorado",6,1.5,1,99.25,397,25
"605","moore","north carolina",263,32.875,32,2163.8275,17310.62,2242
"606","moore","texas",18,18,18,4310,4310,4310
"607","morehouse","louisiana",1,1,1,1,1,1
"608","morgan","alabama",1,0.5,0.5,2.5,5,2.5
"609","morgan","colorado",41,20.5,20.5,910,1820,910
"610","morris","new jersey",451,41,18,3045.54545454545,33501,1510
"611","morton","north dakota",29,5.8,3,249.6,1248,130
"612","multnomah","oregon",336445,168.475212819229,34,16148.075132699,32247706.04,2025
"613","muscatine","iowa",9,3,2,81,243,6
"614","muskegon","michigan",232,8.92307692307692,4,917.5,23855,56.5
"615","muskingum","ohio",25,12.5,12.5,655.5,1311,655.5
"616","muskogee","oklahoma",303,33.6666666666667,21,2116.44444444444,19048,915
"617","nacogdoches","texas",207,17.25,5.5,1098.75,13185,227.5
"618","napa","california",1549,53.4137931034483,23,3767.62448275862,109261.11,702
"619","nash","north carolina",16,1.77777777777778,1,34,306,1
"620","nassau","florida",127,21.1666666666667,8,2244.33333333333,13466,575
"621","nassau","new york",16918,174.412371134021,11,5161.03680412371,500620.57,375
"622","natchitoches","louisiana",4,2,2,61,122,61
"623","natrona","wyoming",277,21.3076923076923,2,3355.07692307692,43616,151
"624","navajo","arizona",685,137,2,2764.8,13824,38
"625","navarro","texas",564,188,1,6496.66666666667,19490,25
"626","nelson","kentucky",9,4.5,4.5,145,290,145
"627","neosho","kansas",10,5,5,43,86,43
"628","nevada","california",2140,59.4444444444444,10,5637.83861111111,202962.19,900
"629","new castle","delaware",19,9.5,9.5,367.5,735,367.5
"630","new hanover","north carolina",41848,172.213991769547,10,16219.8823868313,3941431.42,316
"631","new haven","connecticut",13964,49.6939501779359,14,3821.21608540925,1073761.72,755
"632","new london","connecticut",792,26.4,6,2157.65,64729.5,426.5
"633","new york","new york",704865,140.775913720791,32,14124.111733573,70719427.45,2130
"634","newberry","south carolina",0,0,0,0,0,0
"635","newport","rhode island",20,20,20,1225,1225,1225
"636","newport news","virginia",834,19.8571428571429,3,1591.09547619048,66826.01,77.5
"637","newton","missouri",7,2.33333333333333,1,31.3333333333333,94,25
"638","noble","indiana",1,1,1,1,1,1
"639","Non-USA","Non-USA",1444643,110.370769348308,13,9991.27636919904,130775816.396446,679
"640","norfolk","massachusetts",1906,28.8787878787879,13,2419.96712121212,159717.83,531.5
"641","norfolk","virginia",5967,41.7272727272727,6,3153.38125874126,450933.52,200
"642","northampton","pennsylvania",825,22.2972972972973,4,2016.56756756757,74613,120
"643","nye","nevada",9,2.25,2,29.25,117,38
"644","oakland","michigan",11131,60.4945652173913,4,3714.87309782609,683536.65,161.5
"645","ocean","new jersey",1675,42.9487179487179,3,3131.90153846154,122144.16,45
"646","ogle","illinois",16,16,16,816,816,816
"647","okaloosa","florida",5,1.25,1,149.25,597,20.5
"648","oklahoma","oklahoma",8120,31.843137254902,5,2448.76917647059,624436.14,170
"649","okmulgee","oklahoma",1,1,1,5,5,5
"650","oktibbeha","mississippi",239,47.8,10,2569,12845,235
"651","oneida","new york",1015,30.7575757575758,4,1908.60818181818,62984.07,143
"652","onondaga","new york",6513,39.9570552147239,16,2915.09509202454,475160.5,800
"653","ontario","new york",136,34,3,7558.75,30235,132.5
"654","orange","california",96931,129.41388518024,16,10655.756835781,7981161.87,1060.88
"655","orange","florida",57320,58.8501026694045,5,4867.04217659138,4740499.08,165
"656","orange","new york",992,62,5,5048.7825,80780.52,85
"657","orange","north carolina",6087,64.0736842105263,37,4203.77084210526,399358.23,1870
"658","orangeburg","south carolina",9,3,1,483.333333333333,1450,100
"659","orleans","louisiana",27918,54.8487229862475,17,4048.40827111984,2060639.81,1084
